Common Name,UniProt,PANTHER Protein Class,PANTHER GO-Slim Molecular Function,PANTHER GO-Slim Biological Process,PANTHER GO-Slim Cell Component
14-3-3 protein epsilon; 14-3-3epsilon; ortholog,P92177,,,,
40S ribosomal protein S5b; RpS5b; ortholog,Q9VFE4,ribosomal protein(PC00202),mRNA binding(GO:0003729); structural constituent of ribosome(GO:0003735),biosynthetic process(GO:0009058); cellular component biogenesis(GO:0044085); cellular process(GO:0009987); organelle organization(GO:0006996); translation(GO:0006412),cytosol(GO:0005829); organelle(GO:0043226); ribosome(GO:0005840)
4E-binding protein THOR; Thor; ortholog,Q9XZ56,translation factor(PC00223),protein binding(GO:0005515),biosynthetic process(GO:0009058); cellular process(GO:0009987); regulation of translation(GO:0006417),cytoplasm(GO:0005737)
60S ribosomal protein L5; RpL5; ortholog,Q9W5R8,ribosomal protein(PC00202),RNA binding(GO:0003723); structural constituent of ribosome(GO:0003735),cellular component biogenesis(GO:0044085); cellular process(GO:0009987); organelle organization(GO:0006996),cytosol(GO:0005829); organelle(GO:0043226); ribosome(GO:0005840)
"Abelson interacting protein, isoform D; Abi; ortholog",A0A0B4K774,G-protein modulator(PC00022),protein binding(GO:0005515); small GTPase regulator activity(GO:0005083),cell cycle(GO:0007049); cellular component movement(GO:0006928),intracellular(GO:0005622)
"Alicorn, isoform A; alc; ortholog",A1Z7Q8,kinase modulator(PC00140),kinase regulator activity(GO:0019207); protein binding(GO:0005515),cholesterol metabolic process(GO:0008203); gluconeogenesis(GO:0006094); protein phosphorylation(GO:0006468); response to stress(GO:0006950),
"Ankyrin-repeat, SH3-domain, and Proline-rich-region containing protein, isoform B; ASPP; ortholog",Q86BG1,,protein binding(GO:0005515),,intracellular(GO:0005622); nucleus(GO:0005634)
"APC-like, isoform A; Apc; ortholog",Q9VAS9,,protein binding(GO:0005515),catabolic process(GO:0009056); cell differentiation(GO:0030154); cell surface receptor signaling pathway(GO:0007166); cellular component movement(GO:0006928); cytoskeleton organization(GO:0007010); localization(GO:0051179); locomotion(GO:0040011); pattern specification process(GO:0007389); protein metabolic process(GO:0019538); regulation of biological process(GO:0050789); response to stimulus(GO:0050896),cytoplasm(GO:0005737); microtubule(GO:0005874)
Armadillo segment polarity protein; arm; ortholog,P18824,,receptor binding(GO:0005102); transcription cofactor activity(GO:0003712),biosynthetic process(GO:0009058); cellular process(GO:0009987); nitrogen compound metabolic process(GO:0006807); regulation of transcription from RNA polymerase II promoter(GO:0006357),cell junction(GO:0030054); plasma membrane(GO:0005886); protein complex(GO:0043234)
AT09608p; CG30491; CG30495; ortholog,Q7JUS1,dehydrogenase(PC00092); reductase(PC00198),oxidoreductase activity(GO:0016491),,
AT09986p; CG15625; ortholog,Q9VR43,,,,
AT11516p; RpL10Aa; ortholog,Q9VFE0,ribosomal protein(PC00202),RNA binding(GO:0003723),biosynthetic process(GO:0009058); cellular component biogenesis(GO:0044085); cellular process(GO:0009987); nitrogen compound metabolic process(GO:0006807); rRNA metabolic process(GO:0016072); translation(GO:0006412),cytosol(GO:0005829); organelle(GO:0043226); ribosome(GO:0005840)
BcDNA.GH12558; Mtpalpha; ortholog,Q9V397,dehydrogenase(PC00092); epimerase/racemase(PC00096); hydratase(PC00120),hydro-lyase activity(GO:0016836); oxidoreductase activity(GO:0016491),catabolic process(GO:0009056); cellular process(GO:0009987); fatty acid beta-oxidation(GO:0006635),
BcDNA.LD26050; wde; ortholog,Q7KMH9,,,,
Calmodulin; Cam; ortholog,P62152,calmodulin(PC00061),calcium ion binding(GO:0005509); calmodulin binding(GO:0005516),cell cycle(GO:0007049); cellular component movement(GO:0006928),
"Cell division cycle 5, isoform A; Cdc5; ortholog",Q9W0R0,,,,
"Centrosomin's beautiful sister, isoform A; cbs; ortholog",Q7K4K7,,,,Golgi apparatus(GO:0005794); cytoplasm(GO:0005737)
CG3259; CG3259-RA; ortholog,Q9VFL0,,,cellular component movement(GO:0006928); cellular component organization(GO:0016043); transport(GO:0006810),cilium(GO:0005929); intracellular(GO:0005622); microtubule organizing center(GO:0005815); protein complex(GO:0043234)
"CG4168, isoform B; CG4168; ortholog",Q9VJQ0,,,,
